# ----------------------------------------
# highcharts.com
# Audience Overview
# 20171217-20180117
# ----------------------------------------

Day Index,Ventas
170,"FÍSICA III: ONDAS Y FÍSICA MODERNA"
171,"PRODUCCIÓN Y COMPRENSIÓN DE TEXTOS I"
172,"PRODUCCIÓN Y COMPRENSIÓN DE TEXTOS I"
173,"PRODUCCIÓN Y COMPRENSIÓN DE TEXTOS I"
174,"PRODUCCIÓN Y COMPRENSIÓN DE TEXTOS I"
175,"PRODUCCIÓN Y COMPRENSIÓN DE TEXTOS I"
176,"CÁLCULO MULTIVARIADO"
177,"CÁLCULO MULTIVARIADO"
178,"CÁLCULO MULTIVARIADO"
179,"CÁLCULO MULTIVARIADO"
180,"CÁLCULO MULTIVARIADO"
181,"CÁLCULO MULTIVARIADO"
182,"CÁLCULO MULTIVARIADO"
183,"CÁLCULO MULTIVARIADO"
184,"ECUACIONES DIFERENCIALES"
185,"ECUACIONES DIFERENCIALES"
186,"ECUACIONES DIFERENCIALES"
187,"ECUACIONES DIFERENCIALES"
188,"ECUACIONES DIFERENCIALES"
189,"ECUACIONES DIFERENCIALES"
190,"ECUACIONES DIFERENCIALES"
191,"ECUACIONES DIFERENCIALES"
192,"ECUACIONES DIFERENCIALES"
193,"ECUACIONES DIFERENCIALES"
194,"ECUACIONES DIFERENCIALES"
195,"ECUACIONES DIFERENCIALES"
196,"ANÁLISIS DE SISTEMAS"
197,"ANÁLISIS DE SISTEMAS"
198,"ANÁLISIS DE SISTEMAS"
199,"ANÁLISIS DE SISTEMAS"
200,"ANÁLISIS DE SISTEMAS"
201,"ANÁLISIS DE SISTEMAS"
202,"ANÁLISIS DE SISTEMAS"
203,"ANÁLISIS DE SISTEMAS"
204,"ANÁLISIS DE SISTEMAS"
205,"ANÁLISIS DE SISTEMAS"
206,"ANÁLISIS DE SISTEMAS"
207,"ANÁLISIS DE SISTEMAS"
208,"ANÁLISIS DE SISTEMAS"
209,"ANÁLISIS DE SISTEMAS"
210,"TICS EN LAS ORGANIZACIONES"
211,"TICS EN LAS ORGANIZACIONES"
212,"TICS EN LAS ORGANIZACIONES"
213,"TICS EN LAS ORGANIZACIONES"
214,"TICS EN LAS ORGANIZACIONES"
215,"TICS EN LAS ORGANIZACIONES"
216,"TICS EN LAS ORGANIZACIONES"
217,"TICS EN LAS ORGANIZACIONES"
218,"TICS EN LAS ORGANIZACIONES"
219,"TICS EN LAS ORGANIZACIONES"
220,"TICS EN LAS ORGANIZACIONES"
221,"TICS EN LAS ORGANIZACIONES"
222,"TICS EN LAS ORGANIZACIONES"
223,"TICS EN LAS ORGANIZACIONES"
224,"ÉTICA Y SOCIEDAD"
225,"ÉTICA Y SOCIEDAD"
226,"FÍSICA II: ELECTROMAGNETISMO"
227,"FÍSICA II: ELECTROMAGNETISMO"
228,"FÍSICA II: ELECTROMAGNETISMO"
229,"FÍSICA II: ELECTROMAGNETISMO"
230,"FÍSICA II: ELECTROMAGNETISMO"
231,"FÍSICA II: ELECTROMAGNETISMO"
232,"FÍSICA II: ELECTROMAGNETISMO"
233,"DISEÑO LÓGICO"
234,"DISEÑO LÓGICO"
235,"DISEÑO LÓGICO"
236,"DISEÑO LÓGICO"
237,"DISEÑO LÓGICO"
238,"DISEÑO LÓGICO"
239,"DISEÑO LÓGICO"
240,"DISEÑO LÓGICO"
241,"DISEÑO LÓGICO"
242,"DISEÑO LÓGICO"
243,"FUNDAMENTOS DE TELEMÁTICA"
244,"FUNDAMENTOS DE TELEMÁTICA"
245,"FORMULACIÓN Y EVALUACIÓN DE PROYECTOS"
246,"TEORÍA DE LA INFORMACIÓN"
247,"TEORÍA DE LA INFORMACIÓN"
248,"TEORÍA DE LA INFORMACIÓN"
249,"TEORÍA DE LA INFORMACIÓN"
250,"TEORÍA DE LA INFORMACIÓN"
251,"TEORÍA DE LA INFORMACIÓN"
252,"TEORÍA DE LA INFORMACIÓN"
253,"TEORÍA DE LA INFORMACIÓN"
254,"COMPUTACIÓN CUÁNTICA"
255,"INGENIERÍA DE SOFTWARE"
256,"INGENIERÍA DE SOFTWARE"
257,"INGENIERÍA DE SOFTWARE"
258,"INGENIERÍA DE SOFTWARE"
259,"INGENIERÍA DE SOFTWARE"
260,"Redes de Alta Velocidad"
261,"Planifiacion Y Diseno de Redes"
262,"Análisis Social Colombiano"
263,"Análisis Social Colombiano"
264,"Análisis Social Colombiano"
265,"Análisis Social Colombiano"
266,"Análisis Social Colombiano"
267,"Análisis Social Colombiano"
268,"Tecnociencias"
269,"Tecnociencias"
270,"Tecnociencias"
271,"Tecnociencias"
272,"Tecnociencias"
273,"Tecnociencias"
274,"Tecnociencias"
275,"Tecnociencias"
276,"Redes Corporativas"
277,"Redes Corporativas"
278,"Análisis de Datos"
279,"Análisis de Datos"
280,"Análisis de Datos"
281,"GLOBALIZACIÓN"
282,"GLOBALIZACIÓN"
283,"GLOBALIZACIÓN"
284,"GLOBALIZACIÓN"
285,"GLOBALIZACIÓN"
286,"INFORMÁTICA Y SOCIEDAD"
287,"INFORMÁTICA Y SOCIEDAD"
288,"INFORMÁTICA Y SOCIEDAD"
289,"INFORMÁTICA Y SOCIEDAD"
290,"INFORMÁTICA Y SOCIEDAD"
291,"Teoría General de Sistemas"
292,"Teoría General de Sistemas"
293,"Teoría General de Sistemas"
294,"Teoría General de Sistemas"
295,"Teoría General de Sistemas"
296,"Arquitectura Empresarial"
297,"Arquitectura Empresarial"
298,"Arquitectura Empresarial"
299,"Arquitectura Empresarial"
